Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	Fc-epsilon receptor signaling pathway (GO:0038095)	36/182	2.648943042156702e-50	1.5007339123422176e-47	0	0	87.0146771037182	9933.168639045369	ITK;SHC1;PIK3R2;PIK3R1;BCL10;RELA;MALT1;IKBKB;MAPK9;PAK1;MAPK8;GRAP2;MAPK1;PLCG1;IKBKG;MAP3K7;HRAS;MAPK3;VAV3;JUN;CHUK;PDPK1;NFATC2;NFATC1;GAB2;FOS;VAV1;NFKB1;NFKBIA;TRAF6;LCP2;PRKCQ;GRB2;SOS1;LAT;CARD11
GO_Biological_Process_2018	T cell receptor signaling pathway (GO:0050852)	35/163	3.2197751353531027e-50	1.5007339123422176e-47	0	0	94.8876096491228	10813.386599007032	ITK;TRB;WAS;CD3G;PIK3R2;PIK3R1;BCL10;GATA3;CD3E;CD3D;RELA;MALT1;IKBKB;PAK1;GRAP2;FYN;PLCG1;IKBKG;MAP3K7;NCK1;CHUK;RIPK2;PDPK1;NFKB1;NFKBIA;ZAP70;CD4;LCK;TRAF6;LCP2;PRKCQ;CD247;SKAP1;LAT;CARD11
GO_Biological_Process_2018	Fc receptor signaling pathway (GO:0038093)	36/183	3.288679135885065e-50	1.5007339123422176e-47	0	0	86.41836734693878	9846.402363734494	ITK;SHC1;PIK3R2;PIK3R1;BCL10;RELA;MALT1;IKBKB;MAPK9;PAK1;MAPK8;GRAP2;MAPK1;PLCG1;IKBKG;MAP3K7;HRAS;MAPK3;VAV3;JUN;CHUK;PDPK1;NFATC2;NFATC1;GAB2;FOS;VAV1;NFKB1;NFKBIA;TRAF6;LCP2;PRKCQ;GRB2;SOS1;LAT;CARD11
GO_Biological_Process_2018	antigen receptor-mediated signaling pathway (GO:0050851)	37/257	2.8385993411197503e-46	9.715106244982346e-44	0	0	60.20297520661157	6313.823359513884	ITK;TRB;WAS;CD3G;PIK3R2;PIK3R1;BCL10;GATA3;CD3E;CD3D;RELA;MALT1;IKBKB;PAK1;GRAP2;FYN;PLCG1;IKBKG;MAP3K7;NCK1;VAV3;CHUK;RIPK2;PDPK1;NFATC2;NFKB1;NFKBIA;ZAP70;CD4;LCK;TRAF6;LCP2;PRKCQ;CD247;SKAP1;LAT;CARD11
GO_Biological_Process_2018	cytokine-mediated signaling pathway (GO:0019221)	43/633	6.386086242978007e-40	1.7485104133273783e-37	0	0	28.73310273261847	2593.141894714914	SHC1;PIK3R1;GATA3;CBL;RELA;CRKL;CDC42;IKBKB;AKT1;PTK2B;MAP3K8;FYN;IKBKG;CCR5;MAP3K7;MAPK3;IL15RA;TGFB1;CHUK;RIPK2;TNFRSF9;PRKCD;PTPN11;GAB2;OPRM1;FOS;VAV1;NFKB1;NFKBIA;IL1A;CD4;IL6;IRF4;IL1B;TRAF6;IL9;FAS;GRB2;VIM;SOS1;CRK;MAP3K14;IL17A
GO_Biological_Process_2018	activation of protein kinase activity (GO:0032147)	24/233	4.716357856112975e-26	1.0761156508364436e-23	0	0	33.2659724176752	1939.944287575804	MAP4K1;MAP2K1;MAP2K2;SHC1;RIPK2;PDPK1;PRKCD;MAPK14;MALT1;CRKL;PAK1;IL1B;TRAF6;AKT1;PTK2B;MAPK1;MAP3K8;PLCG1;IKBKG;RAF1;MAP3K7;CRK;MAP3K14;MAPK3
GO_Biological_Process_2018	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	28/396	7.897701625967208e-26	1.544564789421301e-23	0	0	23.23029891304348	1342.726159296094	ITK;SHC1;PIK3R2;PIK3R1;CD3E;CBL;CDC42;PAK1;GRAP2;AKT1;PTK2B;MAPK1;FYN;HRAS;MAPK3;NCK1;VAV3;PTPN11;MAPK14;VAV1;ZAP70;CD4;LCK;CD8A;LCP2;GRB2;SOS1;CRK
GO_Biological_Process_2018	cellular response to cytokine stimulus (GO:0071345)	29/456	1.8723885495644783e-25	3.2041249054422136e-23	0	0	21.00104085349987	1195.7449241108852	SHC1;PIK3R1;GATA3;CBL;RELA;CRKL;IKBKB;MAPK8;AKT1;FYN;CCR5;TGFB1;CHUK;PTPN11;GAB2;OPRM1;FOS;VAV1;NFKB1;IL1A;CD4;IL6;IRF4;IL1B;GRB2;VIM;SOS1;CRK;IL17A
GO_Biological_Process_2018	positive regulation of intracellular signal transduction (GO:1902533)	29/479	7.593074453012248e-25	1.1549909917970853e-22	0	0	19.904126984126982	1105.423277838913	SHC1;PIK3R2;PIK3R1;BCL10;GATA3;CBL;RELA;MALT1;IKBKB;FYN;IKBKG;ICOS;MAP3K7;HRAS;TGFB1;CHUK;RIPK2;PTPN11;VAV1;IL1A;CD4;IL6;LCK;TRAF6;CD28;REL;FAS;GRB2;MAP3K14
GO_Biological_Process_2018	regulation of apoptotic process (GO:0042981)	34/815	5.370178378041105e-24	7.351774199538274e-22	0	0	14.35643957790631	769.2349890665379	SHC1;PIK3R1;BCL10;CD3E;CBL;RELA;MALT1;IKBKB;MAPK9;PAK1;MAPK8;AKT1;PTK2B;MAP3K8;FYN;VAV3;MAP4K1;JUN;MAP2K1;TGFB1;MAP2K2;RIPK2;TNFRSF9;VAV1;NFKB1;NFKBIA;IL6;LCK;TRAF6;CD28;FAS;RAF1;SOS1;MAP3K14
